area,cell,lon,lat
65479,12730,14.493732,50.348319
31200,18463,13.43971,50.485053
18486,61204,11.975338,51.250469
32300,24844,13.720333,50.171306
17425,48415,11.744103,50.32036
34700,21509,14.517046,50.120039
8,32641,17.740212,48.437054
11,2091,17.136525,48.132857
16454,27429,14.170094,50.538694
13880,44778,15.554546,50.546208
8050,11154,16.522796,49.231683
39800,29652,14.590723,50.272753
8040,10237,16.583112,49.185947
29,3803,17.73977,48.441486
14438,21167,13.997879,50.73575
33,21363,18.838189,49.419675
18468,26182,11.93468,51.567685
38020,11447,16.599897,49.098736
1014,39846,18.576547,49.677739
14438,20696,13.917409,50.790188
38085,16523,15.959479,49.544955
1017,14116,17.897326,49.921879
38075,17845,16.537564,49.761543
31055,18737,18.200921,49.552879
36100,33932,14.885403,50.738058
25420,40401,15.579493,49.346394
18472,820,12.101776,51.460207
1014,41612,18.623194,49.721534
12060,6754,16.463195,48.243913
12011,5457,12.908737,47.774756
7902,42923,12.232708,50.898069
9600,40353,14.806734,50.910002
9600,25583,14.807144,50.911555
9500,23462,14.213558,50.97324
9500,21973,14.180983,50.874008
9600,2793,14.956014,51.161122
9602,22952,13.792804,50.955175
9602,45532,13.816754,51.072807
9500,21971,14.763857,50.93349
9602,23401,13.941205,50.919464
5800,34041,13.382951,49.747895
1131,11146,14.407128,50.086652
1131,21104,14.399123,50.085237
9602,22951,13.935034,50.765856
9602,45531,13.953576,50.860195
9602,20821,14.029218,50.964611
9602,20823,13.894472,50.769528
9602,45761,14.016334,50.992572
9602,45763,13.946319,50.74677
9602,23333,13.969857,50.739763
9602,45762,13.961098,50.7401
9602,43053,13.967891,50.730831
9602,45621,13.963466,50.719356
9602,43052,13.945113,50.752166
9602,45671,13.966732,50.710212
9602,43051,13.953145,50.756385
9602,45591,13.977764,50.694057
9602,23392,13.97685,50.684117
9602,22503,13.976794,50.704028
9602,45673,13.964201,50.701027
9602,45592,13.989358,50.675316
9602,45593,13.966554,50.675883
9602,24901,13.96971,50.679316
9602,22482,13.990597,50.661417
9602,22483,13.985026,50.676147
9602,44433,13.988869,50.685272
9602,22484,13.997458,50.669859
9602,22481,13.991347,50.663902
9602,33903,13.999471,50.678514
9602,45731,13.960858,50.645389
9602,22991,13.940712,50.63176
9602,33902,13.973382,50.661018
9602,45732,13.943642,50.592021
9602,45733,13.889639,50.610167
